id,recipient,agency_name,year_received,date_received,donor,donor_country,gift_description,value_usd,justification
3218,"Kirsten Cappel, Environmental Protection Specialist, Office of Air and Radiation",Environmental Protection Agency,2007,NA,United Nations Environment Programme,NA,"Meals, local transportation, airport tax, other incidentals. Rec'd--May 21 to 25, 2007; Est. Value-- $444.00.",444,Non-acceptance would cause embarrassment to donor and U.S. Government
3219,"Michael Brody, Senior Environmental Scientist, Office of the Chief Financial Officer",Environmental Protection Agency,2007,NA,World Bank,NA,"Airfare to and from Ukraine, transportation within Ukraine, hotels and meals. Rec'd--June 2 to 10, 2007; Est. Value--$5,137.00.",5137,Non-acceptance would cause embarrassment to donor and U.S. Government
3220,"Chao Chen, Biostatistician, ORD [FR Doc. E8-29759 Filed 12-19-08; 8:",Environmental Protection Agency,2007,NA,North Atlantic Treaty Organization,NA,"Airfare, hotel, meals. Rec'd--May 22 to 25, 2007; Est. Value-- $2,721.00. :45 am]",2721,Non-acceptance would cause embarrassment to donor and U.S. Government
3221,"The Honorable Michael V. Hayden, Director",Central Intelligence Agency,2008,2008-01-18,Redacted -- Disclosure could adversely affect intelligence sources or methods,NA,Sword with a copper and brass hilt in a leather scabbard. Rec'd--1/18/2008. Est. Value--$400.00. Location--To be retained for official display in appropriate office space.,400,Non-acceptance would cause embarrassment to donor and U.S. Government
3222,"The Honorable Michael V. Hayden, Director",Central Intelligence Agency,2008,2008-03-12,Redacted -- Disclosure could adversely affect intelligence sources or methods,NA,Enamel and gilt sword with scabbard scimitar. Rec'd--3/12/ 2008. Est. Value-- $500.00. Location--To be retained for official display in appropriate office space.,500,Non-acceptance would cause embarrassment to donor and U.S. Government
3223,"The Honorable Michael V. Hayden, Director",Central Intelligence Agency,2008,2008-06-09,Redacted -- Disclosure could adversely affect intelligence sources or methods,NA,"Brass and green enamel model of a building, mounted on a green marble base. Rec'd--6/ 9/2008. Est. Value-- $400.00. Location--To be retained for official display in appropriate office space.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
3224,"Mr. Stephen R. Kappes, Deputy Director",Central Intelligence Agency,2008,2008-12-17,Redacted -- Disclosure could adversely affect intelligence sources or methods,NA,Gold plated replica of a building on a green leather plinth. Rec'd-- 12/17/2008. Est. Value--$400.00. Location--To be retained for official display in appropriate office space.,400,Non-acceptance would cause embarrassment to donor and U.S. Government
3225,An Agency Employee,Central Intelligence Agency,2007,2007-09-28,Redacted -- Disclosure could adversely affect intelligence sources or methods,NA,"Silk rug, 6 feet by 4 feet, red and navy with zig zag border. Rec'd--9/28/2007. Est. Value--$500.00. Location--To be retained for official display in appropriate office space.",500,Non-acceptance would cause embarrassment to donor and U.S. Government
3226,An Agency Employee,Central Intelligence Agency,2007,2007-09-28,Redacted -- Disclosure could adversely affect intelligence sources or methods,NA,"Silk rug, 6 feet by 4 feet, red and navy with zig zag border. Rec'd--9/28/2007. Est. Value--$500.00. Location--To be retained for official display in appropriate office space.",500,Non-acceptance would cause embarrassment to donor and U.S. Government
3227,"Colonel Martin J. Schans, Commander, 47th Operations Group Laughlin AFB, TX",Department of Air Force,2007,2007-07-29,"Major General Mohhamed Al-Ayeesh, Deputy Commander, Royal Saudi Air Force",NA,"Gentlemen's Rolex Date Just Watch. Rec'd--7/ 29/2007. Est. Value-- $4,403.00. Location-- Transferred to GSA on 23 April 2008.",4403,Non-acceptance would cause embarrassment to donor and U.S. Government
3228,"Major General Vern M. Dindley II, Director, Strategy, Plans and Policy United States Central Command (USCENTCOM), MacDill AFB, FL",Department of Air Force,2008,2008-01-16,"Major General Muhammad Sowaidan Al Gimzy, Chairman of Defense Representative, United Arab Emirates",United Arab Emirates,Fendi (Swiss) Automatic Wristwatch. Rec'd--1/ 16/2008. Est. Value-- $895.00. Location-- Transferred to GSA on 23 April 2008.,895,Non-acceptance would cause embarrassment to donor and U.S. Government
3229,"Colonel Daniel Charchian, Chief, Air Force Division, United States Military Training Mission to Saudi Arabia (USMTM), Riyadh, Saudi Arabia",Department of Air Force,2008,2008-09-03,"Lieutenant General Al- Faisal, Commander, Royal Saudi Air Force, Kingdom of Saudi Arabia",Saudi Arabia,Raymond Weil Tango Wristwatch. Rec'd--9/3/ 2008. Est. Value-- $695.50. Location-- Transferred to GSA on 15 October 2008.,695.5,Non-acceptance would cause embarrassment to donor and U.S. Government
3230,"Colonel Frank E. Fields, Commander, 437th Operations Group, Charleston, SC",Department of Air Force,2008,2008-01-01,"Maj Gen Hamed Bin Ali Al-Attiyah, Chief of Staff for the Qatar Armed Forces",Qatar,"Grovana Wristwatch ($419); Givenchy Wallet ($250); Angel Schlessor Cologne for Men, 50 ml ($55). Rec'd--1/1/2008. Est. Value--$724.00. Location--Transferred to GSA on 15 October 2008.",724,Non-acceptance would cause embarrassment to donor and U.S. Government
3231,"Colonel Frank E. Jones, 437th Mission Support Group Commander, Charleston, SC",Department of Air Force,2008,2008-01-01,"Major General Hamed Bin Ali Al-Attiyah, Chief of Staff for the Qatar Armed Forces",Qatar,"TechnoMarine Wristwatch ($617); Givenchy Wallet ($250); JBR Wallet ($250); Angel Schlessor Cologne for Men, 50 ml ($55). Rec'd--1/1/2008. Est. Value--$2,172.00. Location--Transferred to GSA on 15 October 2008.",2172,Non-acceptance would cause embarrassment to donor and U.S. Government
3232,"Colonel Donnalee Sykes, 437th Medical Group, Charleston, SC",Department of Air Force,2008,2008-01-01,"Major General Hamed Bin Ali Al-Attiyah, Chief of Staff for the Qatar Armed Forces",Qatar,TechnoMarine Wristwatch ($617); Givenchy Wallet ($250); Givenchy Very Irresistible Cologne for Men ($64). Rec'd-- 1/1/2008. Est. Value-- $931.00. Location-- Transferred to GSA on 15 October 2008.,931,Non-acceptance would cause embarrassment to donor and U.S. Government
3233,"Mr. Norman Moore, Deputy Commander, 437th Maintenance Group, Charleston, SC",Department of Air Force,2008,2008-01-01,"Major General Hamed Bin Ali Al-Attiyah, Chief of Staff for the Qatar Armed Forces",Qatar,TechnoMarine Wristwatch ($578); Givenchy Wallet ($250). Rec'd-- 1/1/2008. Est. Value-- $828.00. Location-- Transferred to GSA on 15 October 2008.,828,Non-acceptance would cause embarrassment to donor and U.S. Government
3234,"Lieutenant Colonel Leon Strickland, 16th Airlift Squadron, Qatar Visit Project Officer, Charleston, SC",Department of Air Force,2008,2008-01-01,"Major General Hamed Bin Ali Al-Attiyah, Chief of Staff for the Qatar Armed Forces",Qatar,Concord Saratoga Ladies Watch ($649); Givenchy Very Irresistible for Men ($64). Rec'd--1/1/ 2008. Est. Value-- $649.00. Location-- Transferred to GSA on 15 October 2008.,649,Non-acceptance would cause embarrassment to donor and U.S. Government
3235,"Lieutenant Colonel Leon Strickland, 16th Airlift Squadron, Qatar Visit Project Officer, Charleston, SC",Department of Air Force,2008,2008-01-01,"Major General Hamed Bin Ali Al-Attiyah, Chief of Staff for the Qatar Armed Forces",Qatar,Concord Saratoga Ladies Watch ($649); Givenchy Very Irresistible for Men ($64). Rec'd--1/1/ 2008. Est. Value-- $649.00. Location-- Transferred to GSA on 15 October 2008.,649,Non-acceptance would cause embarrassment to donor and U.S. Government
3236,"James Mayfield, Commercial Officer, International Trade Administration (ITA)",Department of Commerce,2008,NA,"Sam Lei, Senior Manager of Promotional Activities Dept, Institute de Promocao do Comercio e do Investimento de Macau (IPIM)",Macau SAR China,"Hotel Lodging. Rec'd-- October 22--23, 2008. Est. Value--$438.00.",438,Non-acceptance would cause embarrassment to donor and U.S. Government
3237,"Major General Martin Post, Deputy Commanding General, Multi National Force-West (I Marine Expeditionary Force (Forward) [I MEF (Fwd)])",U.S. Marine Corps,2008,2008-01-25,"Sheikh Tariq Khalaf Abdullah Halbusi. He is Iraqi, but lives in Amman, Jordan",Iraq,Momo Design Pilot Watch--MD-064. Rec'd-- 1/25/2008. Est. Value-- $900.00. Location-- Pending Transfer to General Services Administration.,900,Non-acceptance would cause embarrassment to donor and U.S. Government
3238,"Major General John F. Kelly, Commanding General, Multi National Force-West (I Marine Expeditionary Force (Forward) [I MEF (Fwd)])",U.S. Marine Corps,2008,2008-06-01,"Sheikh Jassim Muhammad Saleh al-Suwaydawie, Province, Iraq",Iraq,"Formex Watch. Rec'd--6/ 1/2008. Est. Value-- $1,995. Location-- Pending Transfer to General Services Administration.",1995,Non-acceptance would cause embarrassment to donor and U.S. Government
3239,"The Honorable Margaret Spellings, Secretary of Education",Department of Education,2008,2008-06-04,"His Excellency Minister Hanif Hassan, Minister of Education of the United Arab Emirates",United Arab Emirates,"Oil painting of desert outpost by Hussein Sherif, UAE, size 40x50. Rec'd--6/4/ 2008. Est. Value-- $1,361.26. Location-- Pending Transfer to GSA.",1361.26,Non-acceptance would cause embarrassment to donor and U.S. Government
3240,"The Honorable Margaret Spellings, Secretary of Education",Department of Education,2008,2008-01-02,"His Excellency Yousef Al Otaiba, Ambassador of the United Arab Emirates",United Arab Emirates,Cartier ball point pen. Rec'd--1/2/2008. Est. Value--$345.00. Location--Pending Transfer to GSA.,345,Non-acceptance would cause embarrassment to donor and U.S. Government
3241,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Royal Highness Abdullah bin Abd al- Aziz Al Saud, Custodian of the Two Holy Mosques and King of the Kingdom of Saudi Arabia",Saudi Arabia,"Ceremonial (traditional) robe in velvet and wood chest with gold decoration. Rec'd--January 13, 2008. Est. Value-- $850.00. Location-- Pending Transfer to General Services Administration.",850,Non-acceptance would cause embarrassment to donor and U.S. Government
3242,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"Ms. Benita Ferrero- Waldner, Member of the European Commission External Relations and Neighborhood Policy",NA,"Pearl choker. Rec'd-- November 9, 2008. Est. Value--$1,400.00. Location--Pending Transfer to General Services Administration.",1400,Non-acceptance would cause embarrassment to donor and U.S. Government
3243,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Samuel Lewis Navarro, First Vice-President and Foreign Minister of the Republic of Panama",Panama,"Painting of Khobe Indian woman from Chiriqui, Panama. Rec'd--December 9, 2008. Est. Value-- $440.00. Location-- Pending Transfer to General Services Administration.",440,Non-acceptance would cause embarrassment to donor and U.S. Government
3244,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"The Right Honorable David Miliband, Secretary of State for Foreign and Commonwealth Affairs of the United Kingdom",United Kingdom,"1. 2 framed political cartoons (and binder explaining significance of items) 2. jersey with Secretary Rice's name on back 3. 4 classical music CDs. Rec'd-- December 8, 2008. Est. Value--$388.00. Location--Pending Transfer to General Services Administration.",388,Non-acceptance would cause embarrassment to donor and U.S. Government
3245,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Dai Bingguo, State Councilor of the People's Republic of China",China,"Framed picture made of silk fabric strings in design of flowers. Rec'd--December 12, 2008. Est. Value-- $440.00. Location-- Pending Transfer to General Services Administration.",440,Non-acceptance would cause embarrassment to donor and U.S. Government
3246,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Bandar Seri Begawan, Minister of Foreign Affairs and Trade of Brunei Darussalam",Brunei,"1. Book--Prince Mohamed Bolkiah, Time and the River, a Memoir-- signed with dedication 2. Gold coin with picture of Sultan Haji Hassanal Bolkiah. Rec'd--December 14, 2008. Est. Value-- $895.00. Location-- Pending Transfer to General Services Administration.",895,Non-acceptance would cause embarrassment to donor and U.S. Government
3247,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Bernard Kouchner, Minister of Foreign Affairs of the French Republic",France,"Lalique crystal perfume bottle. Rec'd--June 12, 2008. Est. Value-- $878.00. Location-- Pending Transfer to General Services Administration.",878,Non-acceptance would cause embarrassment to donor and U.S. Government
3248,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Herv[eacute] Morin, Minister of Defense of the French Republic",France,"Ornate glass (crystal) perfume decanter with frosted floral detail from the ``Crystal de Sevres'' company in France. Rec'd--January 31, 2008. Est. Value-- $385.00. Location-- Pending Transfer to General Services Administration.",385,Non-acceptance would cause embarrassment to donor and U.S. Government
3249,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Takeo Kawamura, Chief Cabinet Secretary of Japan",Japan,"Necklace--single pearl on black cord. Rec'd-- February 27, 2008. Est. Value--$520.00. Location--Pending Transfer to General Services Administration.",520,Non-acceptance would cause embarrassment to donor and U.S. Government
3250,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"Colonel Muammar Abu Minyar al-Qadhafi, Leader of the Revolution of the Great Socialist People's Libyan Arab Jamahiriya",Libya,"1. Diamond ring in wood box 2. DVD with musical instrument 3. Locket with Qadhafi's photo. Rec'd-- September 5, 2008. Est. Value-- $212,225.00. Location-- Pending Transfer to General Services Administration.",212225,Non-acceptance would cause embarrassment to donor and U.S. Government
3251,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Abdelaziz Bouteflika, President of the People's Democratic Republic of Algeria",Algeria,"Decorative silver plated and coral boat in leather display case. Rec'd--September 6, 2008. Est. Value-- $360.00. Location-- Pending Transfer to General Services Administration.",360,Non-acceptance would cause embarrassment to donor and U.S. Government
3252,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Blaise Compaor[eacute], President of Burkina Faso",Burkina Faso,"Heavy metal (bronze) statue of a woman. Rec'd--July 15, 2008. Est. Value--$585.00. Location--Pending Transfer to General Services Administration.",585,Non-acceptance would cause embarrassment to donor and U.S. Government
3253,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Lech Kaczynski, President of the Republic of Poland on behalf of the People of Poland",Poland,"Sabre with brass hilt and leather handgrip; sheath has a dedication plaque to Secretary Rice. Rec'd-- August 20, 2008. Est. Value--$400.00. Location--Pending Transfer to General Services Administration.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
3254,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Yang Jiechi, Minister of Foreign Affairs of the People's Republic of China",China,"Watercolor of Secretary Rice. Rec'd--June 29, 2008. Est. Value-- $1,200.00. Location-- Pending Transfer to General Services Administration.",1200,Non-acceptance would cause embarrassment to donor and U.S. Government
3255,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Sergei Stanishev, Prime Minister of the Republic of Bulgaria",Bulgaria,"Painting of old house by Pavel Mitkov. Rec'd--July 9, 2008. Est. Value--$900.00. Location--Pending Transfer to General Services Administration.",900,Non-acceptance would cause embarrassment to donor and U.S. Government
3256,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Karel Schwarzenberg, Minister of Foreign Affairs of the Czech Republic",Czechia,"China tea set--teapot, mugs and saucers. Rec'd--July 8, 2008. Est. Value--$680.00. Location--Pending Transfer to General Services Administration.",680,Non-acceptance would cause embarrassment to donor and U.S. Government
3257,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Volodymyr Ohryzko, Minister of Foreign Affairs of Ukraine",Ukraine,"Framed figure of Princess Olha and medals. Rec'd--April 1, 2008. Est. Value-- $520.00. Location-- Pending Transfer to General Services Administration.",520,Non-acceptance would cause embarrassment to donor and U.S. Government
3258,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"Her Excellency Olubanke King-Akerele, Minister of Foreign Affairs of the Republic of Liberia",Liberia,"18k yellow gold Liberian `` V'' Bracelet. Rec'd-- February 19, 2008. Est. Value--$420.00. Location--Pending Transfer to General Services Administration.",420,Non-acceptance would cause embarrassment to donor and U.S. Government
3259,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"Field Marshall Mohamed Hussein Tantawi, Commander in Chief of the Egyptian Armed Forces of the Arab Republic of Egypt",Egypt,"18k yellow gold filigree bracelet with scarab design. Rec'd-- March 25, 2008. Est. Value--$950.00. Location--Pending Transfer to General Services Administration.",950,Non-acceptance would cause embarrassment to donor and U.S. Government
3260,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency John Agyekum Kufuor, President of the Republic of Ghana",Ghana,"18k yellow gold neckace, bracelet, and earrings with Andrinka symbols of Ghana. Rec'd--February 20, 2008. Est. Value-- $2,250.00. Location-- Pending Transfer to General Services Administration.",2250,Non-acceptance would cause embarrassment to donor and U.S. Government
3261,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Royal Highness Abdullah bin Abd al- Aziz Al Saud, Custodian of the Two Holy Mosques and King of the Kingdom of Saudi Arabia",Saudi Arabia,"1. Gold, diamond and saphire set with necklace, ring, bracelet and earrings 2. Ceremonial robe and scarf (red and blue). Rec'd--January 14, 2008. Est. Value-- $230,145.00. Location-- Pending Transfer to General Services Administration.",230145,Non-acceptance would cause embarrassment to donor and U.S. Government
3262,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Volodymyr Ohryzko, Minister of Foreign Affairs of Ukraine",Ukraine,"1. Book: `` Museum of Historical Treasures of Ukraine'' 2. `` Scythian Gold'' framed pictorials in gold of ancient history of Ukraine. Rec'd-- September 22, 2008. Est. Value--$415.00. Location--Pending Transfer to General Services Administration.",415,Non-acceptance would cause embarrassment to donor and U.S. Government
3263,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"Unknown Foreign Government Official, People's Republic of China",China,"Plaque from the 2008 Olympics--5 gold- plated Olympic mascots, limited edition <greek- i>22,470 of 50,000. Rec'd--January 1, 2008. Est. Value-- $1,000.00. Disposition--Permissio n to Retain for official use only.",1000,Non-acceptance would cause embarrassment to donor and U.S. Government
3264,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"Her Excellency Yuliya Volodymyrivna Tymoshenko, Prime Minister of Ukraine",Ukraine,"Framed picture of trees on hillside surrounding stream made of amber and quartz. Rec'd-- September 29, 2008. Est. Value--$385.00. Location--Pending Transfer to General Services Administration.",385,Non-acceptance would cause embarrassment to donor and U.S. Government
3265,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Edward Nalbandian, Minister of Foreign Affairs of the Republic of Armenia",Armenia,"1. 1 Bottle (2.5 fl oz) of Guerlain perfume with sprayer 2. porcelain dish by Hermes. Rec'd--July 14, 2008. Est. Value-- $1,120.00. Location-- Pending Transfer to General Services Administration.",1120,Non-acceptance would cause embarrassment to donor and U.S. Government
3266,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Pranab Kumar Mukherjee, Minister of External Affairs of the Republic of India",India,"3 screen picture frame with Indian art. Rec'd--March 24, 2008. Est. Value--$365.00. Location--Pending Transfer to General Services Administration.",365,Non-acceptance would cause embarrassment to donor and U.S. Government
3267,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Majesty King Hamad Bin Isa Bin Salman Al- Khalifa, King of the Kingdom of Bahrain",Bahrain,"Gold arched building with clock, entitled ``Babel Bahrain''. Rec'd--March 24, 2008. Est. Value--$940.00. Location--Pending Transfer to General Services Administration.",940,Non-acceptance would cause embarrassment to donor and U.S. Government
3268,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Majesty King Abdullah II bin Al Hussein, King of the Hashemite Kingdom of Jordan",Jordan,"1. Tan and grey bowl with leaf design signed by artist at bottom 2. Larger tan and grey bowl with leaf design signed by artist at bottom-- arrived BROKEN. Rec'd-- November 5, 2008. Est. Value--$570.00. Location--Pending Transfer to General Services Administration.",570,Non-acceptance would cause embarrassment to donor and U.S. Government
3269,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Majesty and Her Majesty King Abdullah and Queen Rania, King and Queen of the Hashemite Kingdom of Jordan",Jordan,"Leather presentation box with (1) glass candle votive with mother-of-pearl and tooled leather decor, (2) mother-of-pearl photo frame, (3) candle holder (4) leather desk decorations. Rec'd-- January 16, 2008. Est. Value--$425.00. Location--Pending Transfer to General Services Administration.",425,Non-acceptance would cause embarrassment to donor and U.S. Government
3270,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Rehman Malik, Minister of Interior of the Islamic Republic of Pakistan",Pakistan,"Rug 36"" x 60"" in green bag. Rec'd--October 24, 2008. Est. Value-- $350.00. Location-- Pending Transfer to General Services Administration.",350,Non-acceptance would cause embarrassment to donor and U.S. Government
3271,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Sayyed Abdul Aziz Al-Hakim, Chairman of the Supreme Council for Islamic Revolution in Iraq",Iraq,"Framed carpet (probably silk on wool), autumn landscape with trees on the sides, path in the middle--approx 3.5' x 2.5'. Rec'd-- January 15, 2008. Est. Value--$550.00. Location--Pending Transfer to General Services Administration.",550,Non-acceptance would cause embarrassment to donor and U.S. Government
3272,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Highness Sheikh Khalifa bin Zayed Al Nahyan, President of the United Arab Emirates",United Arab Emirates,"Statue of a golden eagle on a marble stone slab, received with damage to the base. Rec'd--January 13, 2007. Est. Value-- $1,850.00. Location-- Pending Transfer to General Services Administration.",1850,Non-acceptance would cause embarrassment to donor and U.S. Government
3273,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Abdullah bin Zayed, Foreign Minister of the United Arab Emirates",United Arab Emirates,"Painting by Hussein Sherif in black leather case, 19"" x 12.5"". Rec'd--July 21, 2008. Est. Value-- $780.00. Location-- Pending Transfer to General Services Administration.",780,Non-acceptance would cause embarrassment to donor and U.S. Government
3274,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Highness Mohammad bin Rashid al Maktoum, Vice President and Prime Minister of the United Arab Emirates and Ruler of Dubai",United Arab Emirates,"Abstract painting. Rec'd--August 8, 2008. Est. Value--$6,400.00. Location--Pending Transfer to General Services Administration.",6400,Non-acceptance would cause embarrassment to donor and U.S. Government
3275,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Abbas El Fassi, Prime Minister of the Kingdom of Morocco",Morocco,"1. Moroccan pottery plate and bowl set 2. Book on Marrakech. Rec'd--September 6, 2008. Est. Value-- $380.00. Location-- Pending Transfer to General Services Administration.",380,Non-acceptance would cause embarrassment to donor and U.S. Government
3276,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Mikheil Saakashvili, President of Georgia",Georgia,"Replica of a gold cup found in Trialeti, village Tsalkaddoring excavations dated XVIII-XVII B.C. Rec'd-- March 19, 2008. Est. Value--$590.00. Location--Pending Transfer to General Services Administration.",590,Non-acceptance would cause embarrassment to donor and U.S. Government
3277,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Zine El- Abidine Ben Ali, President of the Republic of Tunisia",Tunisia,"1. Silver and aromatic- wood ornamental vessel 2. Silver and aromatic- wood perfume bottle- shaped table ornament. Rec'd--September 6, 2008. Est. Value-- $625.00. Location-- Pending Transfer to General Services Administration.",625,Non-acceptance would cause embarrassment to donor and U.S. Government
3278,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Mikheil Saakashvili, President of Georgia",Georgia,"1. Jeweled chalase (gold cup) inside wooden box. 2. Tbilivno--special reserve wine. 3. Sarajishvili--Georgian Cognac. Rec'd--July 9, 2008. Est. Value-- $360.00. Location-- Pending Transfer to General Services Administration.",360,Non-acceptance would cause embarrassment to donor and U.S. Government
3279,"The Honorable Condoleezza Rice, Secretary of State of the United States",Department of State,2008,NA,"His Excellency Badr Hamad Hamood Al- Busaidi, Secretary General and Minister of Foreign Affairs of the Sultanate of Oman",Oman,"1: Bottle of fragrance for women--Eau de Parfum ``Amouge Lyric''. 2: Bottle of fragrance for men ``Amouge Lyric''. Rec'd--October 6, 2008. Est. Value-- $510.00. Location-- Pending Transfer to General Services Administration.",510,Non-acceptance would cause embarrassment to donor and U.S. Government
3280,"The Honorable Nancy G. Brinker, Chief of Protocol",Department of State,2008,NA,"His Highness Sheikh Khalifa bin Zayed Al Nahyan, President of the United Arab Emirates",United Arab Emirates,"Gold-plated camel and man walking in water, gold waves on tap of 4 sacks on camel back with molded faux marble/green plastic base. Rec'd--January 2, 2008. Est. Value-- $880.00. Location-- Pending Transfer to General Services Administration.",880,Non-acceptance would cause embarrassment to donor and U.S. Government
3281,"The Honorable Michele Sison, U.S. Ambassador to the United Arab Emirates",Department of State,2008,NA,"His Highness Sheikh Khalifa bin Zayed Al Nahyan, President of the United Arab Emirates",United Arab Emirates,"Gold-plated figure of kneeling boy holding onto standing goat with head lowered, on faux marble green plastic base. Rec'd-- January 2, 2008. Est. Value--$800.00. Location--Pending Transfer to General Services Administration.",800,Non-acceptance would cause embarrassment to donor and U.S. Government
3282,"The Honorable Ford Fraker, U.S. Ambassador to Saudi Arabia",Department of State,2008,NA,"His Royal Highness Abdullah bin Abd al- Aziz Al Saud, Custodian of the Two Holy Mosques and King of the Kingdom of Saudi Arabia",Saudi Arabia,"(1) His and Hers black and white watches (2) silver cufflinks (3) diamond earrings, lattice bracelet, and ring set (4) silver pen with diamonds. Rec'd--January 14, 2008. Est. Value-- $45,000.00. Location-- Pending Transfer to General Services Administration.",45000,Non-acceptance would cause embarrassment to donor and U.S. Government
3283,"The Honorable Clark T. Randt, Jr., U.S. Ambassador to the People's Republic of China",Department of State,2008,NA,"His Excellency Dai Bingguo, State Councilor of the People's Republic of China",China,"Bronze `` ding'' a vessel used in ancient China, approximately 10 pounds. Rec'd-- October 21, 2008. Est. Value--$400.00. Disposition--Permissio n to Retain for official use only.",400,Non-acceptance would cause embarrassment to donor and U.S. Government
3284,"The Honorable Nancy G. Brinker, Chief of Protocol",Department of State,2008,NA,"His Royal Highness Abdullah bin Abd al- Aziz Al Saud, Custodian of the Two Holy Mosques and King of the Kingdom of Saudi Arabia",Saudi Arabia,"1: Robe; silk with paisley design in red and ivory, bancs of goldwrapped thread, lined in golden yellow cat-type fur 2: Shawl; wool, 5-petal rosettes, beige and maroon; both held in red and white velour box with 2 combo locks. Rec'd--January 1, 2008. Est. Value-- $2,510.00. Location-- Pending Transfer to General Services Administration.",2510,Non-acceptance would cause embarrassment to donor and U.S. Government
3285,"The Honorable Peter Coneway, U.S. Ambassador to Switzerland",Department of State,2008,NA,"His Excellency Francesco Canalini, Apostolic Nuncio of the Holy See",France,"$2,700 Swiss Francs in cash. Rec'd--November 19, 2008. Est. Value-- $2,464.34. Location-- Pending Transfer to General Services Administration.",2700,Non-acceptance would cause embarrassment to donor and U.S. Government
3286,"Bryan Langley, Assistant Chief of Protocol",Department of State,2008,NA,"His Highness Mohammad bin Rashid al Maktoum, Vice President and Prime Minister of the United Arab Emirates and Ruler of Dubai",United Arab Emirates,"Rolex watch style M499314 <greek-i> 116000-70200. Rec'd-- August 29, 2008. Est. Value--$3,750.00. Location--Pending Transfer to General Services Administration.",3750,Non-acceptance would cause embarrassment to donor and U.S. Government
3287,"The Honorable David Welch, Assistant Secretary of State for Near Eastern Affairs",Department of State,2008,NA,"His Royal Highness Abdullah bin Abd al- Aziz Al Saud, Custodian of the Two Holy Mosques and King of the Kingdom of Saudi Arabia",Saudi Arabia,"1. Green leather briefcase 2. silver pen with diamonds 3. silver cufflinks 4. ladies' watch with blue face and band 5. men's watch with white face 6. Sapphire and diamond set of earrings, bracelet and ring. Rec'd--January 14, 2008. Est. Value-- $45,000.00. Location-- Pending Transfer to General Services Administration.",45000,Non-acceptance would cause embarrassment to donor and U.S. Government
